book_id,Title,description,review_count,average_rating
9562910334,1984,It is worth reading,1895,4.56
B000TZ19TC,Fahrenheit 451,It is worth reading,1648,4.16
0140860096,Of Mice and Men (Penguin Audiobooks),It is worth reading,1340,4.35
B000HKRIJO,Mere Christianity,It is worth reading,1012,4.47
B000I3JBUO,One Hundred Years of Solitude,It is worth reading,907,4.24
B000NWO8CG,A Tree Grows in Brooklyn,It is worth reading,784,4.71
B000N6DDJQ,The Scarlet Letter A Romance,It is worth reading,758,3.8
0753113880,The Other Boleyn Girl,It is worth reading,726,4.31
B000O1UCCQ,The Clan of the Cave Bear,It is worth reading,651,4.6
B000PBZH5M,Foundation,It is worth reading,607,4.28
B000PBZH6Q,Foundation,It is worth reading,607,4.28
B000QBHBVY,The Greatest Generation,It is worth reading,529,3.49
0943069165,Witch of Blackbird Pond (Bookwise Guide),It is worth reading,481,4.26
0333168968,Tess of the D'Urbervilles (New Wessex editions),It is worth reading,425,4.17
B0006DG9OM,Tess of the D'Urbervilles: A pure woman (Harper's modern classics),It is worth reading,424,4.17
1568959443,In the Heart of the Sea: The Tragedy of the Whaleship Essex,It is worth reading,415,4.62
B000E6JMXQ,Twenty Thousand Leagues Under the Sea (Caxton Edition),It is worth reading,401,4.15
B000PGC9SU,"Autobiography Of Benjamin Franklin, The",It is worth reading,393,4.19
B0006A011C,Ransom,It is worth reading,391,4.52
0786197005,A Princess of Mars,It is worth reading,386,4.52
0786269502,Dress Your Family in Corduroy and Denim,It is worth reading,361,3.93
B0007H4QBK,Economics in one lesson,It is worth reading,330,4.36
0764229893,Gods and Kings (Chronicles of the Kings #1),It is worth reading,315,4.75
1581180012,Hound of the Baskervilles (Lrs Large Print Heritage Series),It is worth reading,298,4.06
B000KEPC7M,Helter Skelter,It is worth reading,278,4.61
B0000CJHX7,Till We Have Faces: A Myth Retold,It is worth reading,274,4.66
1588550311,Romeo and Juliet,It is worth reading,243,4.05
B000JJ9ISM,The Daughter of Time,It is worth reading,241,4.32
0195085140,"Hyperspace: A Scientific Odyssey through Parallel Universes, Time Warps, and the Tenth Dimension",It is worth reading,240,4.38
B000HJR45I,Finnegans Wake,It is worth reading,232,3.68
B000I2UNB6,The Bonfire of the Vanities,It is worth reading,223,4.23
B0000CKD7E,The Dharma Bums,It is worth reading,222,4.37
B000OVGBJY,THIRD SECRET: A Novel Of Suspense (H),It is worth reading,220,3.26
B000MV8HN4,"American Theocracy: The Peril and Politics of Radical Religion, Oil, and Borrowed Money in the 21stCentury",It is worth reading,210,3.99
074325144X,"Chi Running: A Revolutionary Approach to Effortless, Injury-Free Running",It is worth reading,209,4.34
B00005N5OH,Death du Jour,It is worth reading,207,3.8
